"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90956";"JACIARA";14;6;"Deputado Federal";20101;60;1;0;61;15657;0;4444;"N";15657;14436;14433;14015;418;418;0;3;3;0;0;0;0;685;536;536;0;0;"15:43:54";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90069";"QUERÊNCIA";53;7;"Deputado Estadual";15010;42;1;0;43;10741;0;4269;"N";10741;9964;9939;9441;498;498;0;10;10;0;15;15;0;572;205;195;10;0;"15:44:07";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89974";"SALTO DO CÉU";52;7;"Deputado Estadual";2925;9;10;0;19;2281;0;644;"N";2281;2190;2189;2069;120;120;0;1;1;0;0;0;0;50;41;41;0;0;"15:44:14";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89850";"SINOP";22;6;"Deputado Federal";107209;297;6;0;303;81895;0;25314;"N";81895;74327;74321;71527;2794;2794;0;6;6;0;0;0;0;5171;2397;2310;87;0;"15:43:54";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90832";"GUIRATINGA";2;5;"Senador";8376;27;11;0;38;6421;0;1955;"N";6421;4515;4515;4515;0;0;0;0;0;0;0;0;0;254;1652;547;1105;0;"19:27:51";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90425";"COTRIGUAÇU";48;3;"Governador";8506;30;11;0;41;6199;0;2307;"N";6199;5444;5444;5444;0;0;0;0;0;0;0;0;0;226;529;529;0;0;"20:23:08";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91359";"PORTO DOS GAÚCHOS";27;7;"Deputado Estadual";4001;12;1;0;13;3015;0;986;"N";3015;2878;2878;2725;153;153;0;0;0;0;0;0;0;88;49;46;3;0;"15:44:11";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"98671";"COCALINHO";30;3;"Governador";4815;16;4;0;20;3231;0;1584;"N";3231;2864;2864;2864;0;0;0;0;0;0;0;0;0;63;304;304;0;0;"19:34:58";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90360";"NOVA MONTE VERDE";50;7;"Deputado Estadual";6099;20;0;0;20;4444;0;1655;"N";4444;4159;4156;3905;251;251;0;0;0;0;3;3;0;197;88;81;7;0;"15:44:11";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90310";"BARÃO DE MELGAÇO";38;6;"Deputado Federal";6133;23;4;0;27;4995;0;1138;"N";4995;4867;4865;4667;198;198;0;2;2;0;0;0;0;62;66;66;0;0;"15:44:16";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89893";"ARAPUTANGA";41;6;"Deputado Federal";12027;33;6;0;39;8743;0;3284;"N";8743;8100;8099;7807;292;292;0;1;1;0;0;0;0;347;296;295;1;0;"15:44:27";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91510";"RONDONÓPOLIS";46;6;"Deputado Federal";90872;269;6;0;275;70714;0;20158;"N";70714;63420;63401;61061;2340;2340;0;19;19;0;0;0;0;4203;3091;3089;2;0;"15:43:53";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90182";"PORTO ESTRELA";13;6;"Deputado Federal";3123;11;4;0;15;2401;0;722;"N";2401;2331;2331;2203;128;128;0;0;0;0;0;0;0;38;32;32;0;0;"15:44:19";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91510";"RONDONÓPOLIS";10;6;"Deputado Federal";75165;236;11;0;247;57914;0;17251;"N";57914;52412;52407;50542;1865;1865;0;5;5;0;0;0;0;3358;2144;2138;6;0;"15:43:53";"12/12/2022"
